playerID,yearID,teamID,AB,H,BB,HBP,SF
abadfe01,2021,BAL,0,0,0,0,0
abbotco01,2021,CHN,3,1,0,0,0
abreual01,2021,NYA,0,0,0,0,0
abreubr01,2021,HOU,0,0,0,0,0
abreujo02,2021,CHA,566,148,61,22,10
acevedo01,2021,OAK,0,0,0,0,0
acunaro01,2021,ATL,297,84,49,9,5
adamewi01,2021,TBA,132,26,10,0,0
adamewi01,2021,MIL,365,104,47,0,1
adamja01,2021,CHN,0,0,0,0,0
adamsau02,2021,SDN,0,0,0,0,0
adamsma01,2021,COL,36,6,4,0,0
adamsri03,2021,TOR,28,3,2,0,0
adamsri03,2021,WAS,71,19,13,6,0
adelljo01,2021,LAA,130,32,8,1,0
adonjo01,2021,WAS,2,0,0,0,0
adriaeh01,2021,ATL,182,45,21,2,3
aguilje01,2021,MIA,449,117,46,3,7
aguilmi01,2021,ARI,0,0,0,0,0
ahmedni01,2021,ARI,434,96,34,2,1
akinke01,2021,BAL,2,0,0,0,0
akiyash01,2021,CIN,162,33,14,4,1
alanirj01,2021,CIN,1,0,0,0,0
alberan01,2021,MIN,0,0,0,0,0
alberha01,2021,KCA,241,65,4,4,2
albieoz01,2021,ATL,629,163,47,3,7
alcaljo01,2021,MIN,0,0,0,0,0
alcansa01,2021,MIA,58,2,3,1,0
alcanse01,2021,CHN,220,45,30,2,2
alexasc01,2021,LAN,0,0,0,0,0
alexaty01,2021,DET,2,0,0,0,0
alexyaj01,2021,TEX,0,0,0,0,0
alfarjo01,2021,MIA,295,72,11,5,0
alforan01,2021,PIT,133,31,12,3,0
allarko01,2021,TEX,2,0,0,0,0
allenau01,2021,OAK,8,2,0,0,0
allengr01,2021,NYA,37,10,5,5,1
allenlo01,2021,CLE,1,0,0,0,0
allgeni01,2021,TOR,0,0,0,0,0
almonab01,2021,ATL,148,32,26,0,1
almonye01,2021,COL,3,0,0,0,0
almoral01,2021,NYN,52,6,2,0,0
alonspe01,2021,NYN,561,147,60,12,4
altavda01,2021,SDN,0,0,0,0,0
altuvjo01,2021,HOU,601,167,66,4,6
alvared01,2021,MIA,64,12,4,6,0
alvarjo02,2021,SFN,2,0,2,0,0
alvarjo03,2021,PHI,0,0,0,0,0
alvaryo01,2021,HOU,537,149,50,8,3
alzolad01,2021,CHN,31,2,1,0,0
amburtr01,2021,NYA,4,0,0,0,0
anderbr04,2021,MIL,28,0,4,0,0
anderbr06,2021,MIA,233,58,26,5,0
anderch01,2021,PHI,11,0,0,0,0
anderdr02,2021,TEX,0,0,0,0,0
anderia01,2021,ATL,37,2,1,0,0
anderni01,2021,TBA,0,0,0,0,0
andersh01,2021,MIN,0,0,0,0,0
andersh01,2021,BAL,0,0,0,0,0
